Country,Website,Publisher Name,Twitter Handle,Twitter Followers,FB Handle,FB Followers,Instagram Handle,Instagram Followers,Youtube Handle,Youtube Subscribers,Logo Image,Primary Colour,Secondary Colour,Language
USA,collider.com,Collider,@Collider,117.6K,@Collider,"860,153",@Collider,76.5K,@Collider,637K,https://pbs.twimg.com/profile_images/1023960580414005248/i7HaV2G-_400x400.jpg,#6c8e3c,#ffffff,English
USA,theringer.com,The Ringer,@ringer,521.5K,@ringer,"178,996",@ringer,179K,@ringer,321K,https://pbs.twimg.com/profile_images/1218307341843451904/8Ww7S_ns_400x400.jpg,#67c385,#ffffff,English
USA,si.com,Sports Illustrated,@SInow,1.8M,@SInow,"3,192,823",@SInow,1.4M,NaN,NaN,https://pbs.twimg.com/profile_images/876883699559780352/ixURaEXt_400x400.jpg,#0a1529,#ffffff,English
USA,forbes.com,Forbes ,@Forbes,16.3M,@Forbes,"6,684,420",@Forbes,4.9M,@Forbes,922K,https://pbs.twimg.com/profile_images/1106672424605630465/IC9ipKIt_400x400.png,#181716,#ffffff,English
USA,cnbc.com,CNBC International,@CNBCi,124.5K,@CNBC,"872,734",@CNBC,323K,@CNBC,899K,https://pbs.twimg.com/profile_images/1317082585382735874/DBEM-rWK_400x400.png,#005594,#ffffff,English
USA,huffpost.com,HuffPost,@HuffPost,11.4M,@Huffpost,"9,733,487",@HuffPost,2.5M,@HuffPost,650K,https://pbs.twimg.com/profile_images/1295829554225795072/_Ph3zAnF_400x400.jpg,#0DBE98,#ffffff,English
USA,people.com,People,@people,7.5M,@peoplemag,"8,061,495",@people,8.3M,@people,685K,https://pbs.twimg.com/profile_images/703345483218067456/waTSntUG_400x400.jpg,#20b1ea,#ffffff,English
USA,hollywoodlife.com,Hollywoodlife,@HollywoodLife,330.4K,@HollywoodLife,"5,520,796",@HollywoodLife,1.1M,@HollywoodLife,3.15M,https://pbs.twimg.com/profile_images/966087021805690881/B842iRdT_400x400.jpg,#ec2d99,#ffffff,English
USA,gizmodo.com,Gizmodo,@Gizmodo,2.8M,@Gizmodo,"1,469,939",@Gizmodo,103K,@Gizmodo,103K,https://pbs.twimg.com/profile_images/590508740010348544/eS1F7mN5_400x400.png,#000000,#ffffff,English
USA,theverge.com,The Verge,@verge,2.7M,@verge,"3,570,579",@verge,1.4M,@verge,3.05M,https://pbs.twimg.com/profile_images/877903823133704194/Mqp1PXU8_400x400.jpg,#5f005e,#ffffff,English
India,timesofindia.indiatimes.com ,The Times of India,@timesofindia,13.1M,@timesofindia,"10,990,626",@timesofindia,1.6M,@timesofindia,2M,https://pbs.twimg.com/profile_images/1129666669054324736/1W_E72cn_400x400.png,#be2819,#ffffff,English
India,republicworld.com,Republic,@republic,2.1M,@republic,"2,922,903",@republic,236K,@republic,3.86M,https://pbs.twimg.com/profile_images/1067341186497736704/95V6t2w3_400x400.jpg,#d10014,#ffffff,English
India,ndtv.com,NDTV ,@ndtv,13.8M,@ndtv,"8,632,233",@ndtv,2.1M,@ndtv,8.67M,https://pbs.twimg.com/profile_images/570440108424171520/QuGYd7jH_400x400.png,#3e3e3e,#ffffff,English
India,economictimes.indiatimes.com,Economics Times,@EconomicTimes,3.7M,@EconomicTimes,"4,345,766",@EconomicTimes,1.6M,@EconomicTimes,837K,https://pbs.twimg.com/profile_images/1285571205966073857/rE3KyZFW_400x400.jpg,#e81f3d,#ffffff,English
India,business-standard.com,Business Standard ,@bsindia,2M,@bsindia,"486,166",@bsindia,289K,@BusinessStandard,74.8K,https://pbs.twimg.com/profile_images/1194080296821559296/4GUNRuCM_400x400.jpg,#ac2122,#ffffff,English
India,financialexpress.com,Financial Xpress,@FinancialXpress,678.3K,@FinancialXpress,"1,913,949",NaN,NaN,NaN,NaN,https://pbs.twimg.com/profile_images/1195554309/FE-for-Facebook_400x400.jpg,#003f74,#ffffff,English
India,tribuneindia.com,The Tribune,@thetribunechd,99.3K,@thetribunechd,"415,803",@thetribunechd,"9,595",@thetribunechd,204K,https://pbs.twimg.com/profile_images/571293278281007104/a9uLp3Ae_400x400.jpeg,#000000,#ffffff,English
India,cricbuzz.com,Cricbuzz,@cricbuzz,4.3M,@cricbuzz,"8,820,995",@cricbuzz,635,@cricbuzz,1.89M,https://pbs.twimg.com/profile_images/555243676733939713/XHi76CGW_400x400.png,#009270,#ffffff,English
India,hindustantimes.com,Hindustan Times,@htTweets,7.8M,@hindustantimes,"6,195,273",@hindustantimes,1.6M,@hindustantimes,2.63M,https://pbs.twimg.com/profile_images/1300145337617661952/Z6rMaX5R_400x400.jpg,#00b1cd,#ffffff,English
India,indianexpress.com,The Indian Express ,@IndianExpress,3.7M,@IndianExpress,"7,285,711",@IndianExpress,767K,@IndianExpress,702K,https://pbs.twimg.com/profile_images/1064599601553047558/s09zzXz4_400x400.jpg,#ff1204,#ffffff,English
India,deccanchronicle.com,Deccan Chronicle,@DeccanChronicle,90.3K,@DeccanChronicle,"1,518,708",@DeccanChronicle,32.1K,@DeccanChronicle,3.13K,https://pbs.twimg.com/profile_images/1098270415028277248/WjG52Gph_400x400.jpg,#000000,#ffffff,English
India,deccanherald.com,Deccan Herald,@DeccanHerald,60.6K,@DeccanHerald,"794,248",@DeccanHerald,35.1K,@DeccanHerald,166K,https://pbs.twimg.com/profile_images/1275004605810634752/EurSOGXS_400x400.jpg,#0087a8,#ffffff,English
India,telegraphindia.com,The Telegraph,@ttindia,221K,@ttindia,"334,90",@ttindia,12K,@ttindia,59,https://pbs.twimg.com/profile_images/1277634913701785600/w7H4CCF4_400x400.png,#0f4e8c,#ffffff,English
India,thestatesman.com,The StatesMan ,@TheStatesmanLtd,13.1K,@TheStatesmanLtd,"426,114",@TheStatesmanLtd,"1,806",NaN,NaN,https://pbs.twimg.com/profile_images/953259355440168961/6w8hpNU8_400x400.jpg,#000000,#ffffff,English
India,newindianexpress.com,TNIE Karnataka,@XpressBengaluru,15.5K,@XpressBengaluru,"1,532",@XpressBengaluru,494,@XpressBengaluru,49.9K,https://pbs.twimg.com/profile_images/1191635453322989568/_BYgvh7f_400x400.jpg,#000000,#ffffff,English
India,scoopwhoop.com,ScoopWhoop,@ScoopWhoop,205.6K,@ScoopWhoop,"4,670,550",@ScoopWhoop,1.8M,@ScoopWhoop,2.19M,https://pbs.twimg.com/profile_images/1189604310285340672/e85-0VtA_400x400.jpg,#ffc641,#ffffff,English
India,newdelhitimes.com,New Delhi Times,@NewDelhiTimes,186.9K,@NewDelhiTimes,"1,268,573",NaN,NaN,@NewDelhiTimes,55.8K,https://pbs.twimg.com/profile_images/715066564622442496/rz1UskKe_400x400.jpg,#000000,#ffffff,English
India,firstpost.com,First Post,@firstpost,2M,@firstpostin,"2,639,181",@firstpost,"5,532",@firstpost,2.66K,https://pbs.twimg.com/profile_images/1080740828656463873/-TjuNXeh_400x400.jpg,#000000,#ffffff,English
India,amarujala.com,Amar Ujala ,@AmarUjalanews,1.4M,@AmarUjala,"8,087,396",@AmarUjala,886K,@AmarUjala,1.34M,https://pbs.twimg.com/profile_images/1225399049601212416/QBfbW9aM_400x400.jpg,#000000,#ffffff,Hindi/English
India,jagran.com,Dainik Jagran,@JagranNews,1.3M,@dainikjagran.Newspaper,"15,056,414",@JagranNews,171K,@JagranNews,2.83M,https://pbs.twimg.com/profile_images/793987321016160256/XpKLcMFb_400x400.jpg,#000000,#ffffff,Hindi/English
India,enavabharat.com,NavaBharat,@enavabharat,"3,729",@enavabharat,"259,718",@enavabharat,"3,321",NaN,NaN,https://pbs.twimg.com/profile_images/1074951494477131776/VeV2iJPK_400x400.jpg,#FDBA07,#ffffff,Hindi/English
